block,t_hr,h_B,h_L,h_D,tau,hunger,stage_idx,eligible,w,eta_t,lam,alpha0_hunger,q,fired,choice_idx0,choice_name,duration_blocks,appeal_big_e_cook,eta_k_big_e_cook,cost_big_e_cook,hunger_term_big_e_cook,prob_big_e_cook,appeal_small_e_cook,eta_k_small_e_cook,cost_small_e_cook,hunger_term_small_e_cook,prob_small_e_cook,appeal_quick_e_snack,eta_k_quick_e_snack,cost_quick_e_snack,hunger_term_quick_e_snack,prob_quick_e_snack,appeal_big_wood_cook,eta_k_big_wood_cook,cost_big_wood_cook,hunger_term_big_wood_cook,prob_big_wood_cook,appeal_small_wood,eta_k_small_wood,cost_small_wood,hunger_term_small_wood,prob_small_wood,appeal_cold_no_cook,eta_k_cold_no_cook,cost_cold_no_cook,hunger_term_cold_no_cook,prob_cold_no_cook
87,7.25,4,0,0,1.5833333333333328,0.07916666666666665,0,False,1.1170974239473286,0.0,0.0,0.03166666666666666,0.11389276509818401,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,7.3333,4,0,0,1.666666666666666,0.08333333333333331,0,False,1.175589260279921,0.0,0.0,0.033333333333333326,0.11551623883282496,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,7.4167,4,0,0,1.7499999999999993,0.08749999999999997,0,False,1.212953214992606,0.0,0.0,0.03499999999999999,0.11654180277085702,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,7.5,4,0,0,1.8333333333333326,0.09166666666666663,0,False,1.2289944010624294,0.0,0.0,0.03666666666666665,0.11699986343359702,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,7.5833,4,0,0,1.9166666666666659,0.0958333333333333,0,False,1.2237367111856952,0.0,0.0,0.03833333333333332,0.11690733728748125,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,7.6667,4,0,0,1.9999999999999991,0.09999999999999996,0,False,1.1974257856956083,0.0,0.0,0.03999999999999999,0.1162673425773595,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,7.75,4,0,0,2.0833333333333326,0.10416666666666663,0,False,1.1505288252316073,0.0,0.0,0.04166666666666666,0.11507002443474487,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,7.8333,4,0,0,2.166666666666666,0.10833333333333331,0,False,1.0837312545529163,0.0,0.0,0.04333333333333333,0.11329451586651842,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,7.9167,4,0,0,2.2499999999999996,0.11249999999999999,0,False,0.9979303060008433,0.0,0.0,0.045,0.11091225221219696,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,8.0,4,0,0,2.333333333333333,0.11666666666666665,0,False,0.8942256503441278,0.0,0.0,0.04666666666666666,0.10789197990758766,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
